id;verblijfsdoel;aanvangsdatum;einddatum
1;PCI;salmon Senior generating;rich Licensed Cotton Soap
2;British Indian Ocean Territory (Chagos Archipelago) Chips B2B;program Bike azure;Connecticut
3;Kwanza;program Integrated Intranet;AGP project quantifying
4;Tanzanian Shilling protocol red;Mobility Home Loan Account;Louisiana frictionless maroon
5;Pines AGP;flexibility;Electronics Keyboard
6;target;purple;digital system SCSI
7;upward-trending;Mobility deposit Forward;Steel Trafficway Danish Krone
8;bluetooth Re-contextualized Rial Omani;Avon Movies;User-friendly virtual Ergonomic Cotton Keyboard
9;compressing JBOD Engineer;Polarised South Carolina;Pine protocol
10;complexity Australia;Borders Re-contextualized copy;FTP
