id;verblijf_id;aanvangsdatum;einddatum
1;Sausages;Investment Account;Car open-source visionary
2;Data Liberian Dollar;Metal;copying Svalbard & Jan Mayen Islands
3;contingency;Grass-roots Gorgeous Concrete Pizza;Fantastic Cotton Fish indigo Small Frozen Shoes
4;Fiji Dollar auxiliary Rustic Concrete Gloves;compressing bypass;Vermont Belarussian Ruble Sri Lanka Rupee
5;monetize;Illinois 3rd generation;deposit
6;Security copying;Sleek Soft Cheese e-commerce Burkina Faso;haptic Cambridgeshire
7;quantify Row deposit;circuit;salmon
8;Adaptive Forward;Configuration Dynamic;Unbranded Cotton Ball
9;markets Home Baby;hard drive Haven;cohesive
10;systemic monitor visualize;Arkansas Supervisor Colombia;local Supervisor
